Question String,Pronoun,Split1,Split2,Option1,Option2 
"Ann helped Kim with her cooking skills, because she felt sorry for her.",she,"Ann helped Kim with her cooking skills, because",she felt sorry for her.,Ann,Kim
"Jim was staring at the guy with the snowboard, because he was doing tricks.",he,"Jim was staring at the guy with the snowboard, because",he was doing tricks.,Jim,the guy
"Jim was staring at the guy with the snowboard, because he wanted to be like him.",he,"Jim was staring at the guy with the snowboard, because",he wanted to be like him.,Jim,the guy
"Kim offered mushrooms to Laura, because she had too many of them.",she,"Kim offered mushrooms to Laura, because",she had too many of them.,Kim,Laura
"Kim offered mushrooms to Laura, because she might like them.",she,"Kim offered mushrooms to Laura, because",she might like them.,Kim,Laura
Sue visited Nadia for dinner because she invited her.,she,Sue visited Nadia for dinner because,she invited her.,Sue,Nadia
Sue visited Nadia for dinner because she was free.,she,Sue visited Nadia for dinner because,she was free.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she served sukiyaki au gratin.",she,"When Sue went to Nadia's home for dinner,",she served sukiyaki au gratin.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she ate sukiyaki au gratin.",she,"When Sue went to Nadia's home for dinner,",she ate sukiyaki au gratin.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she caught the wrong bus and arrived late.",she,"When Sue went to Nadia's home for dinner,",she caught the wrong bus and arrived late.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she told the security guard to let her in.",she,"When Sue went to Nadia's home for dinner,",she told the security guard to let her in.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she saw a big teddy bear.",she,"When Sue went to Nadia's home for dinner,",she saw a big teddy bear.,Sue,Nadia
"When Sue went to Nadia's home for dinner, she showed her a big teddy bear.",she,"When Sue went to Nadia's home for dinner,",she showed her a big teddy bear.,Sue,Nadia
The professor told John that he passed the exam.,he,The professor told John that,he passed the exam.,The professor,John
The professor told John that he passed him.,he,The professor told John that,he passed him.,The professor,John
Daryel told Ross that he was the ugliest person he knew of after examining himself disapprovingly in the mirror.,he,Daryel told Ross that,he was the ugliest person he knew of after examining himself disapprovingly in the mirror.,Daryel,Ross
Daryel told Ross that he was the ugliest person he knew of and made him angry.,he,Daryel told Ross that,he was the ugliest person he knew of and made him angry.,Daryel,Ross
People like dogs because they look like them.,they,People like dogs because,they look like them.,People,dogs
People like dogs but they do not like cats.,they,People like dogs but,they do not like cats.,People,dogs
People raise dogs because they are obedient.,they,People raise dogs because,they are obedient.,People,dogs
People raise dogs because they are afraid of thieves.,they,People raise dogs because,they are afraid of thieves.,People,dogs
"Professors do a lot for students, but they are rarely respected.",they,"Professors do a lot for students, but",they are rarely respected.,Professors,students
"Professors do a lot for students, but they are rarely thankful.",they,"Professors do a lot for students, but",they are rarely thankful.,Professors,students
